Item,Label,Condition,WCO?,Quantifier/Definite,Determiner,Animate/Inanimate,Comp,Pronoun,Subject,V1,V2,Sentence example,Context,First Sentence,Second Sentence,,,,,Old context
1,pilot,YQA,yes,Quantifier,Every,animate,who,her,flight attendant,flew around the country,avoided,Every flight attendant who her pilot flew around the country avoided turbulence.,"Flight attendants work with certain pilots. Some flight attendants were flown around the country by their pilot, and others were not.",Flight attendants work with certain pilots.,"Some flight attendants were flown around the country by their pilot, and others were not.",,,,,"Flight attendants are paired with certain pilots. Some flight attendants were flown around the country by their pilots, and others were not."
1,pilot,YQI,yes,Quantifier,Every,inanimate,which,its,plane,flew around the country,avoided,Every plane which its pilot flew around the country avoided turbulence.,"Planes are operated by certain pilots. Some planes were flown around the country by their pilot, and others were not.",Planes are operated by certain pilots.,"Some planes were flown around the country by their pilot, and others were not.",,,,,"Planes are paired with certain pilots. Some planes were flown around the country by their pilots, and others were not."
1,pilot,YDA,yes,Definite,The,animate,who,her,flight attendant,flew around the country,avoided,The flight attendant who her pilot flew around the country avoided turbulence.,"Flight attendants are work with certain pilots. A flight attendant was flown around the country by her pilot, and another was not.",Flight attendants are work with certain pilots.,"A flight attendant was flown around the country by her pilot, and another was not.",,,,,Flight attendants are paired with certain pilots.  A flight attendant was flown around the country by her pilot and another was not.
1,pilot,YDI,yes,Definite,The,inanimate,which,its,plane,flew around the country,avoided,The plane which its pilot flew around the country avoided turbulence.,"Planes are operated by certain pilots. A plane was flown around the country by its pilot, and another was not.",Planes are operated by certain pilots.,"A plane was flown around the country by its pilot, and another was not.",,,,,"Planes are paired with certain pilots. A plane was flown around the country by its pilot, and another was not."
1,pilot,NQA,no,Quantifier,Every,animate,who,her,flight attendant,flew around the country,avoided,Every flight attendant who the pilot flew around the country avoided turbulence.,"There is a certain pilot. Some flight attendants were flown around the country by that pilot, and others were not.",There is a certain pilot.,"Some flight attendants were flown around the country by that pilot, and others were not.",,,,,"There is a certain pilot. Some flight attendants were flown around the country by that pilot, and others were not."
1,pilot,NQI,no,Quantifier,Every,inanimate,which,its,plane,flew around the country,avoided,Every plane which the pilot flew around the country avoided turbulence.,"There is a certain pilot. Some planes were flown around the country by that pilot, and others were not.",There is a certain pilot.,"Some planes were flown around the country by that pilot, and others were not.",,,,,"There is a certain pilot. Some planes were flown around the country by that pilots, and others were not."
1,pilot,NDA,no,Definite,The,animate,who,her,flight attendant,flew around the country,avoided,The flight attendant who the pilot flew around the country avoided turbulence.,"There is a certain pilot. A flight attendant was flown around the country by that pilot, and another was not.",There is a certain pilot.,"A flight attendant was flown around the country by that pilot, and another was not.",,,,,There is a certain pilot. A flight attendant was flown around the country by that pilot and another was not.
1,pilot,NDI,no,Definite,The,inanimate,which,its,plane,flew around the country,avoided,The plane which the pilot flew around the country avoided turbulence.,"There is a certain pilot. A plane was flown around the country by that pilot, and another was not.",There is a certain pilot.,"A plane was flown around the country by that pilot, and another was not.",,,,,"There is a certain pilot. A plane was flown around the country by that pilot, and another was not."
2,pianist,YQA,yes,Quantifier,Every,animate,who,her,singer,heard during rehearsal,sounded,Every singer who her pianist heard during rehearsal sounded beautiful.,"Singers perform with certain pianists. Some singers were heard during rehearsal by their pianist, and others were not.",Singers perform with certain pianists.,"Some singers were heard during rehearsal by their pianist, and others were not.",,,,,"Singers are paired with certain pianists. Some singers were heard by their pianist during rehearsal, and others were not. "
2,pianist,YQI,yes,Quantifier,Every,inanimate,which,its,guitar,heard during rehearsal,sounded,Every piano which its pianist heard during rehearsal sounded beautiful.,"Guitars are paired with certain pianists. Some guitars were heard during rehearsal by their pianist, and others were not.",Guitars are paired with certain pianists.,"Some guitars were heard during rehearsal by their pianist, and others were not.",,,,,"Pianos are paired with certain pianists. Some pianos were heard by their pianist during rehearsal, and others were not. "
2,pianist,YDA,yes,Definite,The,animate,who,her,singer,heard during rehearsal,sounded,The singer who her pianist heard during rehearsal sounded beautiful.,"Singers perform with certain pianists. A singer was heard during rehearsal by her pianist, and another was not.",Singers perform with certain pianists.,"A singer was heard during rehearsal by her pianist, and another was not.",,,,,"Singers are paired with certain pianists. A singer was heard by their pianist during rehearsal, and another was not. "
2,pianist,YDI,yes,Definite,The,inanimate,which,its,guitar,heard during rehearsal,sounded,The piano which its pianist heard during rehearsal sounded beautiful.,"Guitars are paired with certain pianists. A guitar was heard during rehearsal by its pianist, and another was not.",Guitars are paired with certain pianists.,"A guitar was heard during rehearsal by its pianist, and another was not.",,,,,"Pianos are paired with certain pianists. A piano was heard by their pianist during rehearsal, and another was not. "
2,pianist,NQA,no,Quantifier,Every,animate,who,her,singer,heard during rehearsal,sounded,Every singer who the pianist heard during rehearsal sounded beautiful.,"There is a certain pianist. Some singers were heard during rehearsal by that pianist, and others were not.",There is a certain pianist.,"Some singers were heard during rehearsal by that pianist, and others were not.",,,,,"There is a certain pianist. Some singers were heard by that pianist during rehearsal, and others were not. "
2,pianist,NQI,no,Quantifier,Every,inanimate,which,its,guitar,heard during rehearsal,sounded,Every piano which the pianist heard during rehearsal sounded beautiful.,"There is a certain pianist. Some guitars were heard during rehearsal by that pianist, and others were not.",There is a certain pianist.,"Some guitars were heard during rehearsal by that pianist, and others were not.",,,,,"There is a certain pianist. Some pianos were heard by that pianist during rehearsal, and others were not. "
